BoroughName,2nd_Dose_Uptake_%
Barking and Dagenham,59.82727273
Barnet,69.17317073
Bexley,77.30357143
Brent,59.67058824
Bromley,79.14102564
Camden,60.44285714
Croydon,66.25454545
Ealing,65.14358974
Enfield,65.08333333
Greenwich,67.82727273
Hackney and City of London,59.76785714
Hammersmith and Fulham,59.74
Haringey,61.90277778
Harrow,68.79
Havering,75.94666667
Hillingdon,71.0875
Hounslow,66.25357143
Islington,61.56521739
Kensington and Chelsea,58.64761905
Kingston upon Thames,74.12
Lambeth,62.74571429
Lewisham,64.60555556
Merton,68.188
Newham,56.58108108
Redbridge,67.30322581
Richmond upon Thames,75.92608696
Southwark,63.51515152
Sutton,77.5125
Tower Hamlets,62.6125
Waltham Forest,63.27857143
Wandsworth,66.66486486
Westminster,57.17916667
