MSOA11CD,MSOA11NM,LocalAuthority,child_poverty_prop,Region,Borough,Code
E02000001,City of London 001,City of London,0.052592036,Central,City of London,E09000001
E02000002,Barking and Dagenham 001,Barking and Dagenham,0.273854962,East,Barking and Dagenham,E09000002
E02000003,Barking and Dagenham 002,Barking and Dagenham,0.246671887,East,Barking and Dagenham,E09000002
E02000004,Barking and Dagenham 003,Barking and Dagenham,0.201966717,East,Barking and Dagenham,E09000002
E02000005,Barking and Dagenham 004,Barking and Dagenham,0.231935143,East,Barking and Dagenham,E09000002
E02000007,Barking and Dagenham 006,Barking and Dagenham,0.289297068,East,Barking and Dagenham,E09000002
E02000008,Barking and Dagenham 007,Barking and Dagenham,0.283377936,East,Barking and Dagenham,E09000002
E02000009,Barking and Dagenham 008,Barking and Dagenham,0.280229746,East,Barking and Dagenham,E09000002
E02000010,Barking and Dagenham 009,Barking and Dagenham,0.236261532,East,Barking and Dagenham,E09000002
E02000011,Barking and Dagenham 010,Barking and Dagenham,0.253855279,East,Barking and Dagenham,E09000002
E02000012,Barking and Dagenham 011,Barking and Dagenham,0.254398827,East,Barking and Dagenham,E09000002
E02000013,Barking and Dagenham 012,Barking and Dagenham,0.247815727,East,Barking and Dagenham,E09000002
E02000014,Barking and Dagenham 013,Barking and Dagenham,0.246936502,East,Barking and Dagenham,E09000002
E02000015,Barking and Dagenham 014,Barking and Dagenham,0.318223867,East,Barking and Dagenham,E09000002
E02000016,Barking and Dagenham 015,Barking and Dagenham,0.273214884,East,Barking and Dagenham,E09000002
E02000017,Barking and Dagenham 016,Barking and Dagenham,0.305147059,East,Barking and Dagenham,E09000002
E02000018,Barking and Dagenham 017,Barking and Dagenham,0.246609565,East,Barking and Dagenham,E09000002
E02000019,Barking and Dagenham 018,Barking and Dagenham,0.24592121,East,Barking and Dagenham,E09000002
E02000020,Barking and Dagenham 019,Barking and Dagenham,0.253607696,East,Barking and Dagenham,E09000002
E02000021,Barking and Dagenham 020,Barking and Dagenham,0.2299444,East,Barking and Dagenham,E09000002
E02000022,Barking and Dagenham 021,Barking and Dagenham,0.325382698,East,Barking and Dagenham,E09000002
E02000023,Barking and Dagenham 022,Barking and Dagenham,0.263452915,East,Barking and Dagenham,E09000002
E02000024,Barnet 001,Barnet,0.093828399,North,Barnet,E09000003
E02000025,Barnet 002,Barnet,0.099701493,North,Barnet,E09000003
E02000026,Barnet 003,Barnet,0.094545455,North,Barnet,E09000003
E02000027,Barnet 004,Barnet,0.164502165,North,Barnet,E09000003
E02000028,Barnet 005,Barnet,0.107511046,North,Barnet,E09000003
E02000029,Barnet 006,Barnet,0.118651685,North,Barnet,E09000003
E02000030,Barnet 007,Barnet,0.111303345,North,Barnet,E09000003
E02000031,Barnet 008,Barnet,0.058823529,North,Barnet,E09000003
E02000032,Barnet 009,Barnet,0.103341584,North,Barnet,E09000003
E02000033,Barnet 010,Barnet,0.152987158,North,Barnet,E09000003
E02000034,Barnet 011,Barnet,0.125065686,North,Barnet,E09000003
E02000035,Barnet 012,Barnet,0.092505855,North,Barnet,E09000003
E02000036,Barnet 013,Barnet,0.149161196,North,Barnet,E09000003
E02000037,Barnet 014,Barnet,0.110064078,North,Barnet,E09000003
E02000038,Barnet 015,Barnet,0.118600683,North,Barnet,E09000003
E02000039,Barnet 016,Barnet,0.078709677,North,Barnet,E09000003
E02000040,Barnet 017,Barnet,0.129201681,North,Barnet,E09000003
E02000041,Barnet 018,Barnet,0.158655891,North,Barnet,E09000003
E02000042,Barnet 019,Barnet,0.090008258,North,Barnet,E09000003
E02000043,Barnet 020,Barnet,0.043855176,North,Barnet,E09000003
E02000044,Barnet 021,Barnet,0.209876543,North,Barnet,E09000003
E02000045,Barnet 022,Barnet,0.1439523,North,Barnet,E09000003
E02000046,Barnet 023,Barnet,0.061179898,North,Barnet,E09000003
E02000047,Barnet 024,Barnet,0.233596702,North,Barnet,E09000003
E02000048,Barnet 025,Barnet,0.082651743,North,Barnet,E09000003
E02000049,Barnet 026,Barnet,0.326113117,North,Barnet,E09000003
E02000050,Barnet 027,Barnet,0.133509003,North,Barnet,E09000003
E02000051,Barnet 028,Barnet,0.077345036,North,Barnet,E09000003
E02000052,Barnet 029,Barnet,0.101050525,North,Barnet,E09000003
E02000053,Barnet 030,Barnet,0.159976731,North,Barnet,E09000003
E02000054,Barnet 031,Barnet,0.139285714,North,Barnet,E09000003
E02000055,Barnet 032,Barnet,0.142730102,North,Barnet,E09000003
E02000056,Barnet 033,Barnet,0.030776515,North,Barnet,E09000003
E02000057,Barnet 034,Barnet,0.121552127,North,Barnet,E09000003
E02000058,Barnet 035,Barnet,0.088223055,North,Barnet,E09000003
E02000059,Barnet 036,Barnet,0.225848003,North,Barnet,E09000003
E02000060,Barnet 037,Barnet,0.13654169,North,Barnet,E09000003
E02000061,Barnet 038,Barnet,0.06536347,North,Barnet,E09000003
E02000062,Barnet 039,Barnet,0.2183345,North,Barnet,E09000003
E02000063,Barnet 040,Barnet,0.131512071,North,Barnet,E09000003
E02000064,Barnet 041,Barnet,0.181749049,North,Barnet,E09000003
E02000065,Bexley 001,Bexley,0.205544554,East,Bexley,E09000004
E02000066,Bexley 002,Bexley,0.253515468,East,Bexley,E09000004
E02000067,Bexley 003,Bexley,0.19601464,East,Bexley,E09000004
E02000068,Bexley 004,Bexley,0.219302437,East,Bexley,E09000004
E02000069,Bexley 005,Bexley,0.164705882,East,Bexley,E09000004
E02000070,Bexley 006,Bexley,0.156401384,East,Bexley,E09000004
E02000071,Bexley 007,Bexley,0.18922229,East,Bexley,E09000004
