MSOA11CD,MSOA11NM,LocalAuthority,Region,Borough,Code,Child_poverty_sum,deprivationscore,sumdeaths,sumdeaths_perthousand,all_bame,all_black,pakistaniOR_Bangladeshi,allindian,total_patients,Hypertensionsum,Obesitysum,Diabetessum,Asthmasum,heart_diseasesum,sum_population,sum_over70,sum_at_risk_jobs,sum_insecure
E02000001,City of London 001,City of London,Central,City of London,E09000001,0.053,88.8,3,0.345,0.214,0.026,0.034,0.029,8584,7.95,3.62,2.7,3.08,1.5,8706,0.124,0.121,0.078
E02000002,Barking and Dagenham 001,Barking and Dagenham,East,Barking and Dagenham,E09000002,5.77,3617.2,103,11.034,9.147,4.451,1.805,0.862,235900,216.29,178.67,116.51,87.81,34.45,211998,1.468,7.202,7.189
E02000024,Barnet 001,Barnet,North,Barnet,E09000003,5.212,3366,287,30.159,14.662,3.143,0.869,3.154,425715,432.72,205.71,192.08,163.45,90.85,392140,4.291,10.516,8.467
E02000065,Bexley 001,Bexley,East,Bexley,E09000004,4.128,2318.9,125,14.651,5.02,2.32,0.181,0.858,253510,340.4,207.41,137.76,119.53,65.4,247258,3.474,7.885,6.616
E02000093,Brent 001,Brent,West,Brent,E09000005,6.06,4359.3,304,31.099,21.737,6.291,1.786,6.457,405143,363.38,200.75,208.16,131.34,61.78,330795,2.919,9.036,9.363
E02000127,Bromley 001,Bromley,South,Bromley,E09000006,4.454,2752.2,152,17.853,5.988,2.28,0.289,0.769,351070,486.49,228.74,166.48,191.11,100.46,331096,5.141,9.802,7.046
E02000166,Camden 001,Camden,Central,Camden,E09000007,4.25,2657.4,91,9.42,9.453,2.263,1.777,0.793,273970,253.91,110.36,92.03,103.02,38.13,262226,2.377,5.84,4.401
E02000194,Croydon 001,Croydon,South,Croydon,E09000008,7.252,4830.7,252,28.842,19.315,8.647,1.58,2.941,427476,490.56,253.9,216.85,191.84,87.32,385346,4.389,12.152,10.02
E02000238,Ealing 001,Ealing,West,Ealing,E09000009,6.439,4420.7,239,27.59,19.193,4.091,1.786,5.24,428913,429.33,241.16,220.49,176.37,84.2,341982,3.506,9.807,9.466
E02000277,Enfield 001,Enfield,North,Enfield,E09000010,5.977,4649.5,220,23.847,13.692,5.948,0.922,1.347,360863,425.29,253.49,197.89,155.13,76.03,333869,3.548,10.481,9.215
E02000313,Greenwich 001,Greenwich,East,Greenwich,E09000011,6.453,3665.4,140,16.603,11.644,5.825,0.513,0.973,302278,374.37,227.19,154.26,143.29,61.17,286186,2.62,9.721,8.41
E02000345,Hackney 001,Hackney,East,Hackney,E09000012,5.977,4733.1,146,14.866,12.723,6.508,0.923,0.87,313031,234.52,194.49,122,114.15,38.71,279665,1.457,6.983,6.19
E02000372,Hammersmith and Fulham 001,Hammersmith and Fulham,West,Hammersmith and Fulham,E09000013,3.322,2522.8,100,12.977,7.906,2.933,0.365,0.466,231709,196.46,100.8,81.61,89.21,34.56,185426,1.875,5.382,4.235
E02000397,Haringey 001,Haringey,North,Haringey,E09000014,6.43,4000.8,168,22.144,14.071,6.676,0.885,0.833,312086,333.82,249.59,162.98,144.44,52.16,270624,2.523,9.368,8.96
E02000433,Harrow 001,Harrow,West,Harrow,E09000015,4.554,2035.6,241,28.849,17.019,2.421,1.148,7.663,290243,364.79,159.18,205.81,145.06,74.38,250149,3.424,7.455,5.954
E02000464,Havering 001,Havering,East,Havering,E09000016,4.671,2452.2,166,19.569,3.693,1.44,0.31,0.654,268232,388.55,210.86,159.17,134.33,73.98,257810,4.131,8.221,6.839
