MSOA11CD,LSOA11NM,LocalAuthority,imd_score,Region,Borough,Code
E01000001,"City of London 001A","City of London",6.2,Central,"City of London",E09000001
E01000002,"City of London 001B","City of London",5.1,Central,"City of London",E09000001
E01000003,"City of London 001C","City of London",19.4,Central,"City of London",E09000001
E01000005,"City of London 001E","City of London",28.7,Central,"City of London",E09000001
E01000006,"Barking and Dagenham 016A","Barking and Dagenham",19.8,East,"Barking and Dagenham",E09000002
E01000007,"Barking and Dagenham 015A","Barking and Dagenham",31.6,East,"Barking and Dagenham",E09000002
E01000008,"Barking and Dagenham 015B","Barking and Dagenham",37.6,East,"Barking and Dagenham",E09000002
E01000009,"Barking and Dagenham 016B","Barking and Dagenham",32.8,East,"Barking and Dagenham",E09000002
E01000010,"Barking and Dagenham 015C","Barking and Dagenham",32.4,East,"Barking and Dagenham",E09000002
E01000011,"Barking and Dagenham 016C","Barking and Dagenham",30.7,East,"Barking and Dagenham",E09000002
E01000012,"Barking and Dagenham 015D","Barking and Dagenham",34.7,East,"Barking and Dagenham",E09000002
E01000013,"Barking and Dagenham 013A","Barking and Dagenham",39,East,"Barking and Dagenham",E09000002
E01000014,"Barking and Dagenham 013B","Barking and Dagenham",35.7,East,"Barking and Dagenham",E09000002
E01000015,"Barking and Dagenham 009A","Barking and Dagenham",33.6,East,"Barking and Dagenham",E09000002
E01000016,"Barking and Dagenham 009B","Barking and Dagenham",32.8,East,"Barking and Dagenham",E09000002
E01000017,"Barking and Dagenham 009C","Barking and Dagenham",39,East,"Barking and Dagenham",E09000002
E01000018,"Barking and Dagenham 009D","Barking and Dagenham",33.4,East,"Barking and Dagenham",E09000002
E01000019,"Barking and Dagenham 023A","Barking and Dagenham",33.6,East,"Barking and Dagenham",E09000002
E01000020,"Barking and Dagenham 023B","Barking and Dagenham",36,East,"Barking and Dagenham",E09000002
E01000021,"Barking and Dagenham 008A","Barking and Dagenham",38.9,East,"Barking and Dagenham",E09000002
E01000022,"Barking and Dagenham 008B","Barking and Dagenham",34.4,East,"Barking and Dagenham",E09000002
E01000023,"Barking and Dagenham 008C","Barking and Dagenham",36.9,East,"Barking and Dagenham",E09000002
E01000024,"Barking and Dagenham 008D","Barking and Dagenham",29.3,East,"Barking and Dagenham",E09000002
E01000025,"Barking and Dagenham 008E","Barking and Dagenham",36.7,East,"Barking and Dagenham",E09000002
E01000027,"Barking and Dagenham 001A","Barking and Dagenham",37.3,East,"Barking and Dagenham",E09000002
E01000028,"Barking and Dagenham 001B","Barking and Dagenham",40.1,East,"Barking and Dagenham",E09000002
E01000029,"Barking and Dagenham 001C","Barking and Dagenham",22.5,East,"Barking and Dagenham",E09000002
E01000030,"Barking and Dagenham 001D","Barking and Dagenham",38.4,East,"Barking and Dagenham",E09000002
E01000031,"Barking and Dagenham 002A","Barking and Dagenham",22.7,East,"Barking and Dagenham",E09000002
E01000032,"Barking and Dagenham 002B","Barking and Dagenham",30,East,"Barking and Dagenham",E09000002
E01000033,"Barking and Dagenham 006A","Barking and Dagenham",38,East,"Barking and Dagenham",E09000002
E01000034,"Barking and Dagenham 003A","Barking and Dagenham",35.9,East,"Barking and Dagenham",E09000002
E01000035,"Barking and Dagenham 010A","Barking and Dagenham",26.2,East,"Barking and Dagenham",E09000002
E01000036,"Barking and Dagenham 010B","Barking and Dagenham",19.3,East,"Barking and Dagenham",E09000002
E01000037,"Barking and Dagenham 003B","Barking and Dagenham",18,East,"Barking and Dagenham",E09000002
E01000038,"Barking and Dagenham 003C","Barking and Dagenham",19.6,East,"Barking and Dagenham",E09000002
E01000039,"Barking and Dagenham 003D","Barking and Dagenham",22.3,East,"Barking and Dagenham",E09000002
E01000040,"Barking and Dagenham 019A","Barking and Dagenham",34.6,East,"Barking and Dagenham",E09000002
E01000041,"Barking and Dagenham 017A","Barking and Dagenham",33.2,East,"Barking and Dagenham",E09000002
E01000042,"Barking and Dagenham 017B","Barking and Dagenham",41.6,East,"Barking and Dagenham",E09000002
E01000043,"Barking and Dagenham 019B","Barking and Dagenham",28.1,East,"Barking and Dagenham",E09000002
E01000044,"Barking and Dagenham 016D","Barking and Dagenham",28.4,East,"Barking and Dagenham",E09000002
E01000045,"Barking and Dagenham 017C","Barking and Dagenham",35.7,East,"Barking and Dagenham",E09000002
E01000046,"Barking and Dagenham 017D","Barking and Dagenham",29.8,East,"Barking and Dagenham",E09000002
E01000048,"Barking and Dagenham 021B","Barking and Dagenham",44.7,East,"Barking and Dagenham",E09000002
E01000049,"Barking and Dagenham 021C","Barking and Dagenham",41.2,East,"Barking and Dagenham",E09000002
E01000050,"Barking and Dagenham 019C","Barking and Dagenham",34.7,East,"Barking and Dagenham",E09000002
E01000051,"Barking and Dagenham 021D","Barking and Dagenham",36.9,East,"Barking and Dagenham",E09000002
E01000052,"Barking and Dagenham 019D","Barking and Dagenham",33.3,East,"Barking and Dagenham",E09000002
E01000053,"Barking and Dagenham 020A","Barking and Dagenham",40,East,"Barking and Dagenham",E09000002
E01000054,"Barking and Dagenham 018A","Barking and Dagenham",29.8,East,"Barking and Dagenham",E09000002
E01000055,"Barking and Dagenham 018B","Barking and Dagenham",30.9,East,"Barking and Dagenham",E09000002
E01000056,"Barking and Dagenham 018C","Barking and Dagenham",35.9,East,"Barking and Dagenham",E09000002
E01000057,"Barking and Dagenham 012A","Barking and Dagenham",32.9,East,"Barking and Dagenham",E09000002
E01000058,"Barking and Dagenham 018D","Barking and Dagenham",31.8,East,"Barking and Dagenham",E09000002
E01000059,"Barking and Dagenham 013C","Barking and Dagenham",32.3,East,"Barking and Dagenham",E09000002
E01000060,"Barking and Dagenham 006B","Barking and Dagenham",36.2,East,"Barking and Dagenham",E09000002
E01000061,"Barking and Dagenham 006C","Barking and Dagenham",46.3,East,"Barking and Dagenham",E09000002
E01000062,"Barking and Dagenham 006D","Barking and Dagenham",26.7,East,"Barking and Dagenham",E09000002
E01000063,"Barking and Dagenham 004A","Barking and Dagenham",33.4,East,"Barking and Dagenham",E09000002
E01000064,"Barking and Dagenham 006E","Barking and Dagenham",35.3,East,"Barking and Dagenham",E09000002
E01000065,"Barking and Dagenham 007A","Barking and Dagenham",39.9,East,"Barking and Dagenham",E09000002
E01000066,"Barking and Dagenham 011A","Barking and Dagenham",25.8,East,"Barking and Dagenham",E09000002
E01000067,"Barking and Dagenham 011B","Barking and Dagenham",21,East,"Barking and Dagenham",E09000002
E01000068,"Barking and Dagenham 016E","Barking and Dagenham",25.6,East,"Barking and Dagenham",E09000002
E01000069,"Barking and Dagenham 011C","Barking and Dagenham",16.4,East,"Barking and Dagenham",E09000002
E01000070,"Barking and Dagenham 011D","Barking and Dagenham",21,East,"Barking and Dagenham",E09000002
E01000071,"Barking and Dagenham 011E","Barking and Dagenham",18.8,East,"Barking and Dagenham",E09000002
E01000072,"Barking and Dagenham 017E","Barking and Dagenham",41,East,"Barking and Dagenham",E09000002
E01000073,"Barking and Dagenham 012B","Barking and Dagenham",38.8,East,"Barking and Dagenham",E09000002
E01000074,"Barking and Dagenham 012C","Barking and Dagenham",35,East,"Barking and Dagenham",E09000002
E01000075,"Barking and Dagenham 012D","Barking and Dagenham",37,East,"Barking and Dagenham",E09000002
E01000076,"Barking and Dagenham 012E","Barking and Dagenham",36.2,East,"Barking and Dagenham",E09000002
E01000077,"Barking and Dagenham 008F","Barking and Dagenham",41,East,"Barking and Dagenham",E09000002
E01000078,"Barking and Dagenham 007B","Barking and Dagenham",35,East,"Barking and Dagenham",E09000002
E01000079,"Barking and Dagenham 009E","Barking and Dagenham",34.5,East,"Barking and Dagenham",E09000002
E01000080,"Barking and Dagenham 007C","Barking and Dagenham",33.2,East,"Barking and Dagenham",E09000002
E01000081,"Barking and Dagenham 007D","Barking and Dagenham",30.6,East,"Barking and Dagenham",E09000002
E01000082,"Barking and Dagenham 007E","Barking and Dagenham",27.9,East,"Barking and Dagenham",E09000002
E01000083,"Barking and Dagenham 007F","Barking and Dagenham",34.4,East,"Barking and Dagenham",E09000002
E01000084,"Barking and Dagenham 013D","Barking and Dagenham",39.8,East,"Barking and Dagenham",E09000002
E01000085,"Barking and Dagenham 013E","Barking and Dagenham",35.2,East,"Barking and Dagenham",E09000002
E01000086,"Barking and Dagenham 013F","Barking and Dagenham",38.2,East,"Barking and Dagenham",E09000002
E01000087,"Barking and Dagenham 020B","Barking and Dagenham",34.4,East,"Barking and Dagenham",E09000002
E01000088,"Barking and Dagenham 020C","Barking and Dagenham",28.8,East,"Barking and Dagenham",E09000002
E01000089,"Barking and Dagenham 020D","Barking and Dagenham",29,East,"Barking and Dagenham",E09000002
E01000090,"Barking and Dagenham 020E","Barking and Dagenham",28.3,East,"Barking and Dagenham",E09000002
E01000091,"Barking and Dagenham 022A","Barking and Dagenham",42.2,East,"Barking and Dagenham",E09000002
E01000092,"Barking and Dagenham 019E","Barking and Dagenham",33.8,East,"Barking and Dagenham",E09000002
E01000093,"Barking and Dagenham 022B","Barking and Dagenham",46.9,East,"Barking and Dagenham",E09000002
E01000094,"Barking and Dagenham 022C","Barking and Dagenham",28.2,East,"Barking and Dagenham",E09000002
E01000095,"Barking and Dagenham 018E","Barking and Dagenham",32.3,East,"Barking and Dagenham",E09000002
E01000096,"Barking and Dagenham 022D","Barking and Dagenham",40.9,East,"Barking and Dagenham",E09000002
E01000097,"Barking and Dagenham 023C","Barking and Dagenham",38,East,"Barking and Dagenham",E09000002
E01000098,"Barking and Dagenham 023D","Barking and Dagenham",39.4,East,"Barking and Dagenham",E09000002
E01000099,"Barking and Dagenham 023E","Barking and Dagenham",29.3,East,"Barking and Dagenham",E09000002
E01000100,"Barking and Dagenham 004B","Barking and Dagenham",31.8,East,"Barking and Dagenham",E09000002
E01000101,"Barking and Dagenham 004C","Barking and Dagenham",40.5,East,"Barking and Dagenham",E09000002
E01000102,"Barking and Dagenham 007G","Barking and Dagenham",42.6,East,"Barking and Dagenham",E09000002
E01000103,"Barking and Dagenham 014A","Barking and Dagenham",32.9,East,"Barking and Dagenham",E09000002
E01000104,"Barking and Dagenham 014B","Barking and Dagenham",34.7,East,"Barking and Dagenham",E09000002
E01000105,"Barking and Dagenham 014C","Barking and Dagenham",44.1,East,"Barking and Dagenham",E09000002
E01000106,"Barking and Dagenham 014D","Barking and Dagenham",43.5,East,"Barking and Dagenham",E09000002
E01000107,"Barking and Dagenham 010C","Barking and Dagenham",28.3,East,"Barking and Dagenham",E09000002
E01000108,"Barking and Dagenham 010D","Barking and Dagenham",28.2,East,"Barking and Dagenham",E09000002
E01000109,"Barking and Dagenham 004D","Barking and Dagenham",25.7,East,"Barking and Dagenham",E09000002
E01000110,"Barking and Dagenham 002C","Barking and Dagenham",17.7,East,"Barking and Dagenham",E09000002
E01000111,"Barking and Dagenham 002D","Barking and Dagenham",28.9,East,"Barking and Dagenham",E09000002
E01000112,"Barking and Dagenham 002E","Barking and Dagenham",24.7,East,"Barking and Dagenham",E09000002
E01000113,"Barking and Dagenham 002F","Barking and Dagenham",25.3,East,"Barking and Dagenham",E09000002
E01000114,"Barking and Dagenham 004E","Barking and Dagenham",23.3,East,"Barking and Dagenham",E09000002
E01000115,"Barnet 009A",Barnet,6.2,North,Barnet,E09000003
E01000116,"Barnet 009B",Barnet,7.8,North,Barnet,E09000003
E01000117,"Barnet 010A",Barnet,9.6,North,Barnet,E09000003
E01000118,"Barnet 010B",Barnet,9.8,North,Barnet,E09000003
E01000119,"Barnet 009C",Barnet,11.6,North,Barnet,E09000003
E01000120,"Barnet 009D",Barnet,5.9,North,Barnet,E09000003
E01000121,"Barnet 010C",Barnet,36.2,North,Barnet,E09000003
E01000122,"Barnet 009E",Barnet,10.2,North,Barnet,E09000003
E01000123,"Barnet 010D",Barnet,11,North,Barnet,E09000003
E01000124,"Barnet 010E",Barnet,23.6,North,Barnet,E09000003
E01000125,"Barnet 024A",Barnet,26.7,North,Barnet,E09000003
E01000126,"Barnet 026A",Barnet,33.6,North,Barnet,E09000003
E01000127,"Barnet 024B",Barnet,27.5,North,Barnet,E09000003
E01000128,"Barnet 024C",Barnet,27.1,North,Barnet,E09000003
E01000129,"Barnet 024D",Barnet,31,North,Barnet,E09000003
E01000130,"Barnet 021A",Barnet,30.9,North,Barnet,E09000003
E01000131,"Barnet 024E",Barnet,20.9,North,Barnet,E09000003
E01000132,"Barnet 021B",Barnet,25.5,North,Barnet,E09000003
E01000133,"Barnet 021C",Barnet,30.8,North,Barnet,E09000003
E01000134,"Barnet 024F",Barnet,24.7,North,Barnet,E09000003
E01000135,"Barnet 038A",Barnet,12.5,North,Barnet,E09000003
E01000136,"Barnet 038B",Barnet,9,North,Barnet,E09000003
E01000137,"Barnet 041A",Barnet,28.8,North,Barnet,E09000003
E01000138,"Barnet 040A",Barnet,27.9,North,Barnet,E09000003
E01000139,"Barnet 041B",Barnet,12.4,North,Barnet,E09000003
E01000140,"Barnet 041C",Barnet,16.8,North,Barnet,E09000003
E01000141,"Barnet 039A",Barnet,28.8,North,Barnet,E09000003
E01000142,"Barnet 040B",Barnet,16.7,North,Barnet,E09000003
E01000143,"Barnet 041D",Barnet,31.3,North,Barnet,E09000003
E01000144,"Barnet 038C",Barnet,18.3,North,Barnet,E09000003
E01000145,"Barnet 037A",Barnet,14.6,North,Barnet,E09000003
E01000146,"Barnet 038D",Barnet,18.5,North,Barnet,E09000003
E01000147,"Barnet 030A",Barnet,12.8,North,Barnet,E09000003
E01000148,"Barnet 030B",Barnet,27.7,North,Barnet,E09000003
E01000150,"Barnet 036A",Barnet,15.6,North,Barnet,E09000003
E01000151,"Barnet 026B",Barnet,38.9,North,Barnet,E09000003
E01000152,"Barnet 026C",Barnet,32.4,North,Barnet,E09000003
E01000153,"Barnet 026D",Barnet,41.6,North,Barnet,E09000003
E01000154,"Barnet 026E",Barnet,32.7,North,Barnet,E09000003
E01000155,"Barnet 030D",Barnet,20.8,North,Barnet,E09000003
E01000156,"Barnet 022A",Barnet,8.3,North,Barnet,E09000003
E01000157,"Barnet 022B",Barnet,12.7,North,Barnet,E09000003
E01000158,"Barnet 015A",Barnet,19.7,North,Barnet,E09000003
E01000159,"Barnet 015B",Barnet,16.3,North,Barnet,E09000003
E01000160,"Barnet 015C",Barnet,12.1,North,Barnet,E09000003
E01000161,"Barnet 015D",Barnet,14.5,North,Barnet,E09000003
E01000162,"Barnet 015E",Barnet,18.5,North,Barnet,E09000003
E01000163,"Barnet 022C",Barnet,28.5,North,Barnet,E09000003
E01000164,"Barnet 022D",Barnet,25.3,North,Barnet,E09000003
E01000165,"Barnet 022E",Barnet,13.3,North,Barnet,E09000003
E01000166,"Barnet 003A",Barnet,14.9,North,Barnet,E09000003
E01000167,"Barnet 002A",Barnet,28.4,North,Barnet,E09000003
E01000168,"Barnet 003B",Barnet,7,North,Barnet,E09000003
E01000169,"Barnet 003C",Barnet,13.2,North,Barnet,E09000003
E01000170,"Barnet 006A",Barnet,20.4,North,Barnet,E09000003
E01000171,"Barnet 006B",Barnet,24.3,North,Barnet,E09000003
E01000172,"Barnet 003D",Barnet,8.4,North,Barnet,E09000003
E01000173,"Barnet 006C",Barnet,9.7,North,Barnet,E09000003
E01000174,"Barnet 006D",Barnet,16.3,North,Barnet,E09000003
E01000175,"Barnet 006E",Barnet,7.6,North,Barnet,E09000003
E01000176,"Barnet 027A",Barnet,30.5,North,Barnet,E09000003
E01000177,"Barnet 029A",Barnet,8.3,North,Barnet,E09000003
E01000178,"Barnet 027B",Barnet,8.1,North,Barnet,E09000003
E01000179,"Barnet 029B",Barnet,8.5,North,Barnet,E09000003
E01000180,"Barnet 029C",Barnet,14.6,North,Barnet,E09000003
E01000181,"Barnet 029D",Barnet,8.2,North,Barnet,E09000003
E01000182,"Barnet 029E",Barnet,8,North,Barnet,E09000003
E01000183,"Barnet 033A",Barnet,10.6,North,Barnet,E09000003
E01000184,"Barnet 027C",Barnet,31.9,North,Barnet,E09000003
E01000185,"Barnet 029F",Barnet,25.8,North,Barnet,E09000003
E01000186,"Barnet 014A",Barnet,5.2,North,Barnet,E09000003
E01000187,"Barnet 014B",Barnet,13,North,Barnet,E09000003
E01000188,"Barnet 014C",Barnet,8,North,Barnet,E09000003
E01000189,"Barnet 014D",Barnet,24.5,North,Barnet,E09000003
E01000190,"Barnet 014E",Barnet,10.1,North,Barnet,E09000003
E01000191,"Barnet 014F",Barnet,6.8,North,Barnet,E09000003
E01000192,"Barnet 018A",Barnet,15.5,North,Barnet,E09000003
E01000193,"Barnet 018B",Barnet,16.1,North,Barnet,E09000003
E01000194,"Barnet 018C",Barnet,19.4,North,Barnet,E09000003
E01000195,"Barnet 013A",Barnet,27,North,Barnet,E09000003
E01000196,"Barnet 028A",Barnet,12.3,North,Barnet,E09000003
E01000197,"Barnet 023A",Barnet,12.5,North,Barnet,E09000003
E01000198,"Barnet 025A",Barnet,11.8,North,Barnet,E09000003
E01000199,"Barnet 025B",Barnet,7.2,North,Barnet,E09000003
E01000200,"Barnet 028B",Barnet,9.6,North,Barnet,E09000003
E01000201,"Barnet 028C",Barnet,7.2,North,Barnet,E09000003
E01000202,"Barnet 028D",Barnet,6.7,North,Barnet,E09000003
E01000203,"Barnet 028E",Barnet,15.5,North,Barnet,E09000003
E01000204,"Barnet 025C",Barnet,10.1,North,Barnet,E09000003
E01000205,"Barnet 035A",Barnet,7.7,North,Barnet,E09000003
E01000206,"Barnet 033B",Barnet,9.1,North,Barnet,E09000003
E01000207,"Barnet 033C",Barnet,6.6,North,Barnet,E09000003
E01000208,"Barnet 033D",Barnet,6.6,North,Barnet,E09000003
E01000209,"Barnet 035B",Barnet,7.1,North,Barnet,E09000003
E01000210,"Barnet 033E",Barnet,8.2,North,Barnet,E09000003
E01000211,"Barnet 035C",Barnet,14.6,North,Barnet,E09000003
E01000212,"Barnet 035D",Barnet,10.3,North,Barnet,E09000003
E01000213,"Barnet 033F",Barnet,7.6,North,Barnet,E09000003
E01000214,"Barnet 038E",Barnet,10.5,North,Barnet,E09000003
E01000215,"Barnet 037B",Barnet,13.6,North,Barnet,E09000003
E01000216,"Barnet 035E",Barnet,10,North,Barnet,E09000003
E01000217,"Barnet 035F",Barnet,10.8,North,Barnet,E09000003
E01000218,"Barnet 037C",Barnet,15.3,North,Barnet,E09000003
E01000219,"Barnet 037D",Barnet,19.9,North,Barnet,E09000003
E01000220,"Barnet 037E",Barnet,17.1,North,Barnet,E09000003
E01000221,"Barnet 039B",Barnet,45.8,North,Barnet,E09000003
E01000222,"Barnet 040C",Barnet,27.1,North,Barnet,E09000003
E01000223,"Barnet 039C",Barnet,35.8,North,Barnet,E09000003
E01000224,"Barnet 040D",Barnet,19.7,North,Barnet,E09000003
E01000225,"Barnet 037F",Barnet,11,North,Barnet,E09000003
E01000226,"Barnet 018D",Barnet,31.7,North,Barnet,E09000003
E01000227,"Barnet 018E",Barnet,10,North,Barnet,E09000003
E01000228,"Barnet 007A",Barnet,12.5,North,Barnet,E09000003
E01000229,"Barnet 013B",Barnet,21.6,North,Barnet,E09000003
E01000230,"Barnet 013C",Barnet,7.9,North,Barnet,E09000003
E01000231,"Barnet 013D",Barnet,17.6,North,Barnet,E09000003
