areaCode,areaName,areaType,date,newCasesByPublishDate,newDeaths28DaysByDeathDate,newPeopleVaccinatedFirstDoseByVaccinationDate
E12000007,London,region,27/10/2022,3969,,
E12000007,London,region,26/10/2022,0,,203
E12000007,London,region,25/10/2022,0,,231
E12000007,London,region,24/10/2022,0,1,241
E12000007,London,region,23/10/2022,0,1,70
E12000007,London,region,22/10/2022,0,3,296
E12000007,London,region,21/10/2022,0,6,255
E12000007,London,region,20/10/2022,5286,6,272
E12000007,London,region,19/10/2022,0,8,218
E12000007,London,region,18/10/2022,0,7,278
E12000007,London,region,17/10/2022,0,18,215
E12000007,London,region,16/10/2022,0,13,74
E12000007,London,region,15/10/2022,0,12,316
E12000007,London,region,14/10/2022,0,12,308
E12000007,London,region,13/10/2022,5765,12,219
E12000007,London,region,12/10/2022,0,10,218
E12000007,London,region,11/10/2022,0,16,223
E12000007,London,region,10/10/2022,0,5,171
E12000007,London,region,09/10/2022,0,10,62
E12000007,London,region,08/10/2022,0,4,281
E12000007,London,region,07/10/2022,0,8,403
E12000007,London,region,06/10/2022,5276,13,245
E12000007,London,region,05/10/2022,0,7,219
E12000007,London,region,04/10/2022,0,4,178
E12000007,London,region,03/10/2022,0,8,188
E12000007,London,region,02/10/2022,0,6,74
E12000007,London,region,01/10/2022,0,8,302
E12000007,London,region,30/09/2022,0,3,267
E12000007,London,region,29/09/2022,4298,4,283
E12000007,London,region,28/09/2022,0,6,173
E12000007,London,region,27/09/2022,0,4,207
E12000007,London,region,26/09/2022,0,4,203
E12000007,London,region,25/09/2022,0,8,65
E12000007,London,region,24/09/2022,0,6,317
E12000007,London,region,23/09/2022,0,3,236
E12000007,London,region,22/09/2022,3340,2,189
E12000007,London,region,21/09/2022,0,3,193
E12000007,London,region,20/09/2022,0,4,184
E12000007,London,region,19/09/2022,0,2,28
E12000007,London,region,18/09/2022,0,7,60
E12000007,London,region,17/09/2022,0,5,248
E12000007,London,region,16/09/2022,0,5,235
E12000007,London,region,15/09/2022,3057,5,162
E12000007,London,region,14/09/2022,0,4,177
E12000007,London,region,13/09/2022,0,3,192
E12000007,London,region,12/09/2022,0,5,225
E12000007,London,region,11/09/2022,0,6,21
E12000007,London,region,10/09/2022,0,2,129
E12000007,London,region,09/09/2022,0,4,118
E12000007,London,region,08/09/2022,3380,4,73
E12000007,London,region,07/09/2022,0,2,90
E12000007,London,region,06/09/2022,0,4,75
E12000007,London,region,05/09/2022,0,8,113
E12000007,London,region,04/09/2022,0,4,50
E12000007,London,region,03/09/2022,0,3,174
E12000007,London,region,02/09/2022,0,5,207
E12000007,London,region,01/09/2022,0,8,165
E12000007,London,region,31/08/2022,2931,13,228
E12000007,London,region,30/08/2022,0,7,175
E12000007,London,region,29/08/2022,0,10,26
E12000007,London,region,28/08/2022,0,4,36
E12000007,London,region,27/08/2022,0,6,186
E12000007,London,region,26/08/2022,0,7,238
E12000007,London,region,25/08/2022,0,4,143
E12000007,London,region,24/08/2022,3360,6,173
E12000007,London,region,23/08/2022,0,8,171
E12000007,London,region,22/08/2022,0,7,194
E12000007,London,region,21/08/2022,0,10,50
E12000007,London,region,20/08/2022,0,11,215
E12000007,London,region,19/08/2022,0,10,241
E12000007,London,region,18/08/2022,0,7,146
E12000007,London,region,17/08/2022,4343,9,199
E12000007,London,region,16/08/2022,0,12,169
E12000007,London,region,15/08/2022,0,8,186
E12000007,London,region,14/08/2022,0,9,39
E12000007,London,region,13/08/2022,0,22,203
E12000007,London,region,12/08/2022,0,13,191
E12000007,London,region,11/08/2022,0,17,160
E12000007,London,region,10/08/2022,5588,9,201
E12000007,London,region,09/08/2022,0,9,157
E12000007,London,region,08/08/2022,0,16,174
E12000007,London,region,07/08/2022,0,17,64
E12000007,London,region,06/08/2022,0,13,267
E12000007,London,region,05/08/2022,0,9,225
E12000007,London,region,04/08/2022,0,10,183
E12000007,London,region,03/08/2022,7428,15,213
E12000007,London,region,02/08/2022,0,17,203
E12000007,London,region,01/08/2022,0,18,200
E12000007,London,region,31/07/2022,0,7,90
E12000007,London,region,30/07/2022,0,16,323
E12000007,London,region,29/07/2022,0,19,280
E12000007,London,region,28/07/2022,0,16,232
E12000007,London,region,27/07/2022,10695,13,301
E12000007,London,region,26/07/2022,0,20,241
E12000007,London,region,25/07/2022,0,21,246
E12000007,London,region,24/07/2022,0,13,81
E12000007,London,region,23/07/2022,0,20,350
E12000007,London,region,22/07/2022,0,12,261
E12000007,London,region,21/07/2022,0,19,172
E12000007,London,region,20/07/2022,17008,23,276
E12000007,London,region,19/07/2022,0,22,167
E12000007,London,region,18/07/2022,0,11,176
E12000007,London,region,17/07/2022,0,20,77
E12000007,London,region,16/07/2022,0,20,354
E12000007,London,region,15/07/2022,0,12,298
E12000007,London,region,14/07/2022,0,9,230
E12000007,London,region,13/07/2022,24513,18,319
E12000007,London,region,12/07/2022,0,18,277
E12000007,London,region,11/07/2022,0,16,252
E12000007,London,region,10/07/2022,0,14,87
E12000007,London,region,09/07/2022,0,14,383
E12000007,London,region,08/07/2022,0,15,296
E12000007,London,region,07/07/2022,0,17,262
E12000007,London,region,06/07/2022,17150,10,319
E12000007,London,region,05/07/2022,0,10,252
E12000007,London,region,04/07/2022,0,13,265
E12000007,London,region,03/07/2022,0,11,128
E12000007,London,region,02/07/2022,0,15,444
E12000007,London,region,01/07/2022,3169,5,325
E12000007,London,region,30/06/2022,3106,7,283
E12000007,London,region,29/06/2022,3091,12,278
E12000007,London,region,28/06/2022,3046,4,263
E12000007,London,region,27/06/2022,6733,7,283
E12000007,London,region,26/06/2022,0,7,151
E12000007,London,region,25/06/2022,0,9,538
E12000007,London,region,24/06/2022,2417,5,368
E12000007,London,region,23/06/2022,2567,9,239
E12000007,London,region,22/06/2022,2470,7,275
E12000007,London,region,21/06/2022,2421,7,275
E12000007,London,region,20/06/2022,5526,7,267
E12000007,London,region,19/06/2022,0,6,129
E12000007,London,region,18/06/2022,0,5,512
E12000007,London,region,17/06/2022,1872,4,312
E12000007,London,region,16/06/2022,1911,7,213
E12000007,London,region,15/06/2022,2115,4,282
E12000007,London,region,14/06/2022,1871,8,240
E12000007,London,region,13/06/2022,4766,3,274
E12000007,London,region,12/06/2022,0,3,136
E12000007,London,region,11/06/2022,0,3,588
E12000007,London,region,10/06/2022,1571,6,378
E12000007,London,region,09/06/2022,1676,6,259
E12000007,London,region,08/06/2022,1514,6,314
E12000007,London,region,07/06/2022,1718,5,274
E12000007,London,region,06/06/2022,4570,6,302
E12000007,London,region,05/06/2022,0,2,82
E12000007,London,region,04/06/2022,0,7,392
