MSOA11CD,MSOA11NM,LocalAuthority,total_registered_patients,Hypertension,"Obesity (18+)",Diabetes,Asthma,"Coronary heart disease",Region,Borough,Code
E02000001,"City of London 001","City of London",8584,7.95,3.62,2.7,3.08,1.5,Central,"City of London",E09000001
E02000002,"Barking and Dagenham 001","Barking and Dagenham",8315,9.26,6.15,4.99,3.91,1.88,East,"Barking and Dagenham",E09000002
E02000003,"Barking and Dagenham 002","Barking and Dagenham",11873,10.33,7.6,5.79,4.64,1.83,East,"Barking and Dagenham",E09000002
E02000004,"Barking and Dagenham 003","Barking and Dagenham",6852,9.34,8.36,4.95,3.58,1.93,East,"Barking and Dagenham",E09000002
E02000005,"Barking and Dagenham 004","Barking and Dagenham",11150,9.37,8.79,5.15,4.26,1.47,East,"Barking and Dagenham",E09000002
E02000007,"Barking and Dagenham 006","Barking and Dagenham",10469,10.12,7.25,4.76,3.88,1.61,East,"Barking and Dagenham",E09000002
E02000008,"Barking and Dagenham 007","Barking and Dagenham",14107,10.26,8.89,5.58,4.24,1.57,East,"Barking and Dagenham",E09000002
E02000009,"Barking and Dagenham 008","Barking and Dagenham",13502,9.74,7.36,5.09,4.01,1.5,East,"Barking and Dagenham",E09000002
E02000010,"Barking and Dagenham 009","Barking and Dagenham",10488,10.45,9.12,4.86,3.61,1.46,East,"Barking and Dagenham",E09000002
E02000011,"Barking and Dagenham 010","Barking and Dagenham",7535,10.88,8.37,4.99,3.41,1.5,East,"Barking and Dagenham",E09000002
E02000012,"Barking and Dagenham 011","Barking and Dagenham",11865,10.98,8.13,6.9,4.72,2.02,East,"Barking and Dagenham",E09000002
E02000013,"Barking and Dagenham 012","Barking and Dagenham",9997,10.22,7.91,4.93,4.08,1.52,East,"Barking and Dagenham",E09000002
E02000014,"Barking and Dagenham 013","Barking and Dagenham",11120,9.98,9.71,4.98,3.95,1.46,East,"Barking and Dagenham",E09000002
E02000015,"Barking and Dagenham 014","Barking and Dagenham",8926,9.71,8.48,4.68,3.42,1.39,East,"Barking and Dagenham",E09000002
E02000016,"Barking and Dagenham 015","Barking and Dagenham",12250,7.69,6.63,5.05,3.39,1.13,East,"Barking and Dagenham",E09000002
E02000017,"Barking and Dagenham 016","Barking and Dagenham",11452,9.41,7.85,6.67,4.13,1.62,East,"Barking and Dagenham",E09000002
E02000018,"Barking and Dagenham 017","Barking and Dagenham",10694,10.33,7.91,5.18,4.1,1.64,East,"Barking and Dagenham",E09000002
E02000019,"Barking and Dagenham 018","Barking and Dagenham",10437,10.87,9.84,5.38,4.27,1.75,East,"Barking and Dagenham",E09000002
E02000020,"Barking and Dagenham 019","Barking and Dagenham",14361,9.3,7.96,5.74,4.26,1.48,East,"Barking and Dagenham",E09000002
E02000021,"Barking and Dagenham 020","Barking and Dagenham",9772,10.21,8.78,4.89,4.02,1.48,East,"Barking and Dagenham",E09000002
E02000022,"Barking and Dagenham 021","Barking and Dagenham",9273,8.06,7.52,5.19,3.52,1.2,East,"Barking and Dagenham",E09000002
E02000023,"Barking and Dagenham 022","Barking and Dagenham",8547,8.82,7.84,4.94,4.15,1.31,East,"Barking and Dagenham",E09000002
E02000024,"Barnet 001",Barnet,11218,12.19,4.93,4.76,5.25,2.63,North,Barnet,E09000003
E02000025,"Barnet 002",Barnet,8280,10.36,5.5,4.55,4.23,2.4,North,Barnet,E09000003
E02000026,"Barnet 003",Barnet,6925,11.36,5.24,4.74,4.32,2.6,North,Barnet,E09000003
E02000027,"Barnet 004",Barnet,10135,11.43,4.86,4.86,4.86,2.43,North,Barnet,E09000003
E02000028,"Barnet 005",Barnet,6829,10.73,5.52,4.54,4.35,2.36,North,Barnet,E09000003
E02000029,"Barnet 006",Barnet,9652,11.36,6.14,4.68,4.72,2.37,North,Barnet,E09000003
E02000030,"Barnet 007",Barnet,9686,11.11,4.77,4.4,4.53,2.43,North,Barnet,E09000003
E02000031,"Barnet 008",Barnet,8634,11.41,4.76,4.48,4.38,2.54,North,Barnet,E09000003
E02000032,"Barnet 009",Barnet,8629,12.38,5.98,5.03,4.22,2.55,North,Barnet,E09000003
E02000033,"Barnet 010",Barnet,9250,11.23,6.11,4.69,4.27,2.3,North,Barnet,E09000003
E02000034,"Barnet 011",Barnet,9908,11.59,5.04,4.64,4.51,2.49,North,Barnet,E09000003
E02000035,"Barnet 012",Barnet,9512,11.68,4.62,4.97,4.51,2.59,North,Barnet,E09000003
E02000036,"Barnet 013",Barnet,12691,11.43,6.08,5.51,4.12,2.52,North,Barnet,E09000003
E02000037,"Barnet 014",Barnet,11340,11.96,6.13,5.73,4.3,2.72,North,Barnet,E09000003
E02000038,"Barnet 015",Barnet,11614,10.41,5.11,4.99,4.12,2.26,North,Barnet,E09000003
E02000039,"Barnet 016",Barnet,7962,11.38,6.05,4.38,4.35,2.51,North,Barnet,E09000003
E02000040,"Barnet 017",Barnet,9184,10.81,5.26,4.4,4.04,2.24,North,Barnet,E09000003
E02000041,"Barnet 018",Barnet,11394,11.12,6.07,5.49,4.2,2.45,North,Barnet,E09000003
E02000042,"Barnet 019",Barnet,12664,11.66,4.64,5.27,4.26,2.52,North,Barnet,E09000003
E02000043,"Barnet 020",Barnet,8655,11.58,4.73,5.53,4.16,2.48,North,Barnet,E09000003
E02000044,"Barnet 021",Barnet,10140,10.7,7.49,5.3,4.12,1.99,North,Barnet,E09000003
