,1st_Dose_Uptake_%,2nd_Dose_Uptake_%,MSOA11CD,MSOA11NM,all_bame_prop,all_black_prop,pakistani_or_bangladeshi_prop,all_indian_prop,Region,Borough,Code,Unnamed: 10
Barking and Dagenham,64.73181818,,E02000002,Barking and Dagenham 001,0.350110701,0.167232472,0.04797048,0.039852399,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000003,Barking and Dagenham 002,0.453857641,0.161075162,0.104629169,0.080836237,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000004,Barking and Dagenham 003,0.190229699,0.104982206,0.016337755,0.007602718,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000005,Barking and Dagenham 004,0.337304368,0.168768979,0.058747956,0.035155338,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000007,Barking and Dagenham 006,0.328176544,0.227164145,0.026845638,0.008076442,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000008,Barking and Dagenham 007,0.303569885,0.173740168,0.03569885,0.016336762,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000009,Barking and Dagenham 008,0.388207266,0.188326385,0.071351995,0.031328172,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000010,Barking and Dagenham 009,0.307951248,0.190481718,0.034010447,0.010795125,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000011,Barking and Dagenham 010,0.336350412,0.185227089,0.047357362,0.027153709,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000012,Barking and Dagenham 011,0.561084142,0.097997573,0.271136731,0.084445793,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000013,Barking and Dagenham 012,0.310878362,0.177576767,0.033801476,0.016781719,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000014,Barking and Dagenham 013,0.295149968,0.175494576,0.032652627,0.010316954,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000015,Barking and Dagenham 014,0.367182335,0.252941954,0.021155626,0.013222266,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000016,Barking and Dagenham 015,0.704142783,0.270062533,0.168837936,0.120505472,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000017,Barking and Dagenham 016,0.687338197,0.12544128,0.307954813,0.127324076,East,Barking and Dagenham,E09000002,
Barking and Dagenham,64.73181818,,E02000018,Barking and Dagenham 017,0.358605174,0.198987627,0.057255343,0.015748031,East,Barking and Dagenham,E09000002,
