"Measure","Income bracket","Time","Time_type","Ethnicity of household reference person","Ethnicity_type","Geography","Value","Value_type","Denominator"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","7","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","7","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","7","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","4","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","5","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","5","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","9","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","6","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","6","%","597"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","Pakistani","ONS 5+2","K02000001","4","%","618"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","White","ONS 5+2","K02000001","7","%","66117"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","White British","ONS 5+2","K02000001","7","%","63385"
"Average weekly household income by ethnic group of the head of the household","GBP 1,000 or more, but less than GBP 1,200","2009/10-2011/12","Three-year average","White other","ONS 5+2","K02000001","7","%","2732"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","All","ONS 5+2","K02000001","4","%","71324"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Asian other","ONS 5+2","K02000001","5","%","420"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Asian","ONS 5+2","K02000001","5","%","2622"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Bangladeshi","ONS 5+2","K02000001","2","%","221"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Black","ONS 5+2","K02000001","5","%","1457"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Chinese","ONS 5+2","K02000001","4","%","236"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Indian","ONS 5+2","K02000001","6","%","1127"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Mixed","ONS 5+2","K02000001","4","%","531"
"Average weekly household income by ethnic group of the head of the household","GBP 1,200 or more, but less than GBP 1,400","2009/10-2011/12","Three-year average","Other","ONS 5+2","K02000001","4","%","597"
