regionCode,regionName,UtlaCode,UtlaName,LtlaCode,LtlaName,areaCode,areaName,areaType,date,cumVaccinationFirstDoseUptakeByVaccinationDatePercentage,cumVaccinationSecondDoseUptakeByVaccinationDatePercentage,cumVaccinationThirdInjectionUptakeByVaccinationDatePercentage
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000002,Marks Gate,msoa,12/10/2022,67.4,62.3,38.8
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000003,Chadwell Heath East,msoa,12/10/2022,66.5,62,38.8
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000004,Eastbrookend,msoa,12/10/2022,74.7,70.6,49.6
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000005,Becontree Heath,msoa,12/10/2022,67.2,62.6,37.9
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000007,Central Park & Frizlands Lane,msoa,12/10/2022,65.5,60.3,36.8
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000008,Becontree East,msoa,12/10/2022,66.2,61.8,38.1
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000009,Becontree West,msoa,12/10/2022,62.2,57.4,32.9
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000010,Dagenham North,msoa,12/10/2022,66.2,61.8,37.8
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000011,Dagenham Eastbrook,msoa,12/10/2022,67.2,62.1,39.3
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000012,Longbridge & Barking Park,msoa,12/10/2022,70.1,65.4,39.2
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000013,Becontree South,msoa,12/10/2022,64.4,59.9,35.9
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000014,Dagenham Central,msoa,12/10/2022,64.3,59.7,37.4
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000015,Old Dagenham Park & Village,msoa,12/10/2022,64.4,59.6,34.9
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000016,Barking Central,msoa,12/10/2022,57.5,51.9,28.3
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000017,Barking East,msoa,12/10/2022,57.9,53.1,30.5
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000018,Mayesbrook Park & Rippleside,msoa,12/10/2022,63.1,58.2,34
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000019,Goresbrook & Scrattons Farm,msoa,12/10/2022,64.3,59.7,35.9
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000020,Creekmouth & Barking Riverside,msoa,12/10/2022,62.8,56.9,32.2
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000021,Rylands Estate & Dagenham Dock,msoa,12/10/2022,61.6,56.6,33.6
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000022,Gascoigne Estate & Roding Riverside,msoa,12/10/2022,60.1,54.3,28.3
E12000007,London,E09000002,Barking and Dagenham,E09000002,Barking and Dagenham,E02000023,Thames View,msoa,12/10/2022,62.6,56.7,29.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000024,High Barnet & Hadley,msoa,12/10/2022,83.5,80.7,67
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000025,Hadley Wood,msoa,12/10/2022,80.2,77.2,61.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000026,Oak Hill,msoa,12/10/2022,79.6,77.1,61.8
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000027,Ducks Island & Underhill,msoa,12/10/2022,79.1,75.8,58.1
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000028,New Barnet West,msoa,12/10/2022,79.7,76.9,61.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000029,New Barnet Town & East Barnet,msoa,12/10/2022,75.6,72.7,55
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000030,Totteridge & Barnet Gate,msoa,12/10/2022,82.7,79.8,65.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000031,Oakleigh Park,msoa,12/10/2022,80.2,77.2,62.7
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000032,Osidge,msoa,12/10/2022,78.8,75.9,59.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000033,Brunswick Park Road,msoa,12/10/2022,75.4,72.5,54.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000034,Whetstone East,msoa,12/10/2022,75.5,72.5,55.6
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000035,Woodside Park,msoa,12/10/2022,74.9,71.6,56.3
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000036,Edgware East,msoa,12/10/2022,73.8,70,51
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000037,Edgware Park,msoa,12/10/2022,76.9,73.1,56.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000038,Friern Barnet,msoa,12/10/2022,74.7,71.6,54.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000039,Mill Hill Park,msoa,12/10/2022,78.9,75.8,60
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000040,Mill Hill East,msoa,12/10/2022,76,72.2,55.2
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000041,Edgware Central,msoa,12/10/2022,66.7,62.8,45.7
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000042,North Finchley,msoa,12/10/2022,73.1,69.8,53.1
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000043,West Finchley,msoa,12/10/2022,76.3,73.5,59.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000044,Mill Hill Broadway,msoa,12/10/2022,67.4,63.5,44.6
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000045,Colney Hatch,msoa,12/10/2022,72.2,68.8,49.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000046,Church End,msoa,12/10/2022,71.7,68.7,53.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000047,Burnt Oak & Watling Park,msoa,12/10/2022,62.7,58.7,39.7
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000048,Copthall & Downage,msoa,12/10/2022,76.3,72.9,57.2
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000049,Grahame Park,msoa,12/10/2022,66.2,61,38.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000050,Fallow Corner,msoa,12/10/2022,72.9,69.6,52.3
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000051,Finchley Central,msoa,12/10/2022,72.6,69.4,54.8
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000052,East Finchley,msoa,12/10/2022,75.6,72.7,56.5
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000053,Colindale,msoa,12/10/2022,63.9,58.5,39.2
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000054,North Hendon & Sunny Hill,msoa,12/10/2022,65.8,62.1,43.9
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000055,Hendon Central,msoa,12/10/2022,61,57,39.6
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000056,Hampstead Garden Suburb,msoa,12/10/2022,80.3,77.1,64
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000057,Hendon Park,msoa,12/10/2022,63.1,59.4,41.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000058,Temple Fortune,msoa,12/10/2022,71.8,68.3,53.6
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000059,West Hendon,msoa,12/10/2022,64.2,60.8,42.3
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000060,Golders Green North,msoa,12/10/2022,63.9,59.1,41
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000061,Golders Green South,msoa,12/10/2022,69.9,65.8,51.4
E12000007,London,E09000003,Barnet,E09000003,Barnet,E02000062,Brent Cross & Staples Corner,msoa,12/10/2022,62.5,57.5,37.5
