BoroughName,1st_Dose_Uptake_%
Barking and Dagenham,64.73181818181818
Barnet,72.69756097560975
Bexley,80.70357142857142
Brent,64.0264705882353
Bromley,81.92564102564103
Camden,65.84642857142858
Croydon,70.10681818181818
Ealing,69.14358974358974
Enfield,68.80555555555556
Greenwich,72.13636363636364
Hackney and City of London,63.871428571428574
Hammersmith and Fulham,63.58
Haringey,65.60277777777777
Harrow,72.48666666666666
Havering,79.09333333333333
Hillingdon,75.15625
Hounslow,70.70357142857144
Islington,66.2304347826087
Kensington and Chelsea,63.61904761904762
Kingston upon Thames,77.61999999999999
Lambeth,66.48571428571428
Lewisham,68.57777777777778
Merton,71.77199999999999
Newham,61.52162162162163
Redbridge,71.45483870967742
Richmond upon Thames,78.9304347826087
Southwark,68.02727272727273
Sutton,80.97500000000001
Tower Hamlets,68.2125
Waltham Forest,66.95714285714286
Wandsworth,69.88378378378378
Westminster,62.512499999999996
