BoroughName,2nd_Dose_Uptake_%
Barking and Dagenham,59.82727272727273
Barnet,69.17317073170732
Bexley,77.30357142857143
Brent,59.67058823529412
Bromley,79.14102564102564
Camden,60.44285714285714
Croydon,66.25454545454545
Ealing,65.14358974358974
Enfield,65.08333333333333
Greenwich,67.82727272727273
Hackney and City of London,59.767857142857146
Hammersmith and Fulham,59.74
Haringey,61.90277777777778
Harrow,68.78999999999999
Havering,75.94666666666667
Hillingdon,71.0875
Hounslow,66.25357142857142
Islington,61.56521739130435
Kensington and Chelsea,58.647619047619045
Kingston upon Thames,74.12
Lambeth,62.745714285714286
Lewisham,64.60555555555555
Merton,68.188
Newham,56.58108108108108
Redbridge,67.30322580645162
Richmond upon Thames,75.92608695652174
Southwark,63.515151515151516
Sutton,77.5125
Tower Hamlets,62.6125
Waltham Forest,63.278571428571425
Wandsworth,66.66486486486487
Westminster,57.17916666666667
