area_name,area_code,date,deaths,rolling_sum,rolling_rate,age_band,age_lower,age_higher,population
London,E12000007,2022-10-01,0,0,0,0 - 4 years,0,4,595799
London,E12000007,2022-10-01,0,0,0,5 - 9 years,5,9,606333
London,E12000007,2022-10-01,0,0,0,10 - 14 years,10,14,550753
London,E12000007,2022-10-01,0,0,0,15 - 19 years,15,19,474456
London,E12000007,2022-10-01,0,0,0,20 - 24 years,20,24,556594
London,E12000007,2022-10-01,0,0,0,25 - 29 years,25,29,757848
London,E12000007,2022-10-01,0,0,0,30 - 34 years,30,34,822084
London,E12000007,2022-10-01,0,0,0,35 - 39 years,35,39,779934
London,E12000007,2022-10-01,0,1,0.1,40 - 44 years,40,44,677463
London,E12000007,2022-10-01,0,0,0,45 - 49 years,45,49,598535
London,E12000007,2022-10-01,0,0,0,50 - 54 years,50,54,569938
London,E12000007,2022-10-01,0,0,0,55 - 59 years,55,59,508722
London,E12000007,2022-10-01,0,2,0.5,60 - 64 years,60,64,405576
London,E12000007,2022-10-01,0,1,0.3,65 - 69 years,65,69,318142
London,E12000007,2022-10-01,1,3,1.1,70 - 74 years,70,74,280432
London,E12000007,2022-10-01,0,0,0,75 - 79 years,75,79,196419
London,E12000007,2022-10-01,1,1,0.7,80 - 84 years,80,84,150980
London,E12000007,2022-10-01,1,8,8.5,85 - 89 years,85,89,93808
London,E12000007,2022-10-01,2,12,20.5,90+ years,90,90,58672
London,E12000007,2022-09-30,0,0,0,0 - 4 years,0,4,595799
London,E12000007,2022-09-30,0,0,0,5 - 9 years,5,9,606333
London,E12000007,2022-09-30,0,0,0,10 - 14 years,10,14,550753
London,E12000007,2022-09-30,0,0,0,15 - 19 years,15,19,474456
London,E12000007,2022-09-30,0,0,0,20 - 24 years,20,24,556594
London,E12000007,2022-09-30,0,0,0,25 - 29 years,25,29,757848
London,E12000007,2022-09-30,0,0,0,30 - 34 years,30,34,822084
London,E12000007,2022-09-30,0,0,0,35 - 39 years,35,39,779934
London,E12000007,2022-09-30,0,1,0.1,40 - 44 years,40,44,677463
London,E12000007,2022-09-30,0,0,0,45 - 49 years,45,49,598535
London,E12000007,2022-09-30,0,0,0,50 - 54 years,50,54,569938
London,E12000007,2022-09-30,0,0,0,55 - 59 years,55,59,508722
London,E12000007,2022-09-30,0,2,0.5,60 - 64 years,60,64,405576
London,E12000007,2022-09-30,0,3,0.9,65 - 69 years,65,69,318142
London,E12000007,2022-09-30,0,2,0.7,70 - 74 years,70,74,280432
London,E12000007,2022-09-30,0,1,0.5,75 - 79 years,75,79,196419
London,E12000007,2022-09-30,0,1,0.7,80 - 84 years,80,84,150980
London,E12000007,2022-09-30,0,7,7.5,85 - 89 years,85,89,93808
London,E12000007,2022-09-30,1,11,18.7,90+ years,90,90,58672
London,E12000007,2022-09-29,0,0,0,0 - 4 years,0,4,595799
London,E12000007,2022-09-29,0,0,0,5 - 9 years,5,9,606333
London,E12000007,2022-09-29,0,0,0,10 - 14 years,10,14,550753
London,E12000007,2022-09-29,0,0,0,15 - 19 years,15,19,474456
London,E12000007,2022-09-29,0,0,0,20 - 24 years,20,24,556594
London,E12000007,2022-09-29,0,0,0,25 - 29 years,25,29,757848
London,E12000007,2022-09-29,0,0,0,30 - 34 years,30,34,822084
London,E12000007,2022-09-29,0,0,0,35 - 39 years,35,39,779934
London,E12000007,2022-09-29,1,1,0.1,40 - 44 years,40,44,677463
London,E12000007,2022-09-29,0,0,0,45 - 49 years,45,49,598535
London,E12000007,2022-09-29,0,0,0,50 - 54 years,50,54,569938
London,E12000007,2022-09-29,0,0,0,55 - 59 years,55,59,508722
London,E12000007,2022-09-29,1,2,0.5,60 - 64 years,60,64,405576
London,E12000007,2022-09-29,1,4,1.3,65 - 69 years,65,69,318142
London,E12000007,2022-09-29,0,2,0.7,70 - 74 years,70,74,280432
London,E12000007,2022-09-29,0,1,0.5,75 - 79 years,75,79,196419
London,E12000007,2022-09-29,0,1,0.7,80 - 84 years,80,84,150980
London,E12000007,2022-09-29,1,7,7.5,85 - 89 years,85,89,93808
London,E12000007,2022-09-29,0,12,20.5,90+ years,90,90,58672
London,E12000007,2022-09-28,0,0,0,0 - 4 years,0,4,595799
London,E12000007,2022-09-28,0,0,0,5 - 9 years,5,9,606333
London,E12000007,2022-09-28,0,0,0,10 - 14 years,10,14,550753
London,E12000007,2022-09-28,0,0,0,15 - 19 years,15,19,474456
London,E12000007,2022-09-28,0,0,0,20 - 24 years,20,24,556594
London,E12000007,2022-09-28,0,0,0,25 - 29 years,25,29,757848
London,E12000007,2022-09-28,0,0,0,30 - 34 years,30,34,822084
London,E12000007,2022-09-28,0,0,0,35 - 39 years,35,39,779934
London,E12000007,2022-09-28,0,0,0,40 - 44 years,40,44,677463
London,E12000007,2022-09-28,0,0,0,45 - 49 years,45,49,598535
London,E12000007,2022-09-28,0,0,0,50 - 54 years,50,54,569938
London,E12000007,2022-09-28,0,0,0,55 - 59 years,55,59,508722
London,E12000007,2022-09-28,0,1,0.2,60 - 64 years,60,64,405576
London,E12000007,2022-09-28,0,3,0.9,65 - 69 years,65,69,318142
London,E12000007,2022-09-28,0,2,0.7,70 - 74 years,70,74,280432
London,E12000007,2022-09-28,0,1,0.5,75 - 79 years,75,79,196419
London,E12000007,2022-09-28,0,2,1.3,80 - 84 years,80,84,150980
London,E12000007,2022-09-28,2,6,6.4,85 - 89 years,85,89,93808
London,E12000007,2022-09-28,2,12,20.5,90+ years,90,90,58672
London,E12000007,2022-09-27,0,0,0,0 - 4 years,0,4,595799
London,E12000007,2022-09-27,0,0,0,5 - 9 years,5,9,606333
London,E12000007,2022-09-27,0,0,0,10 - 14 years,10,14,550753
London,E12000007,2022-09-27,0,0,0,15 - 19 years,15,19,474456
London,E12000007,2022-09-27,0,0,0,20 - 24 years,20,24,556594
London,E12000007,2022-09-27,0,0,0,25 - 29 years,25,29,757848
London,E12000007,2022-09-27,0,0,0,30 - 34 years,30,34,822084
London,E12000007,2022-09-27,0,0,0,35 - 39 years,35,39,779934
London,E12000007,2022-09-27,0,0,0,40 - 44 years,40,44,677463
London,E12000007,2022-09-27,0,0,0,45 - 49 years,45,49,598535
London,E12000007,2022-09-27,0,0,0,50 - 54 years,50,54,569938
London,E12000007,2022-09-27,0,0,0,55 - 59 years,55,59,508722
London,E12000007,2022-09-27,0,1,0.2,60 - 64 years,60,64,405576
London,E12000007,2022-09-27,0,4,1.3,65 - 69 years,65,69,318142
London,E12000007,2022-09-27,2,2,0.7,70 - 74 years,70,74,280432
London,E12000007,2022-09-27,0,1,0.5,75 - 79 years,75,79,196419
London,E12000007,2022-09-27,0,3,2,80 - 84 years,80,84,150980
London,E12000007,2022-09-27,0,4,4.3,85 - 89 years,85,89,93808
London,E12000007,2022-09-27,2,11,18.7,90+ years,90,90,58672
London,E12000007,2022-09-26,0,0,0,0 - 4 years,0,4,595799
London,E12000007,2022-09-26,0,0,0,5 - 9 years,5,9,606333
London,E12000007,2022-09-26,0,0,0,10 - 14 years,10,14,550753
London,E12000007,2022-09-26,0,0,0,15 - 19 years,15,19,474456
London,E12000007,2022-09-26,0,0,0,20 - 24 years,20,24,556594
London,E12000007,2022-09-26,0,0,0,25 - 29 years,25,29,757848
London,E12000007,2022-09-26,0,0,0,30 - 34 years,30,34,822084
London,E12000007,2022-09-26,0,0,0,35 - 39 years,35,39,779934
London,E12000007,2022-09-26,0,0,0,40 - 44 years,40,44,677463
London,E12000007,2022-09-26,0,0,0,45 - 49 years,45,49,598535
London,E12000007,2022-09-26,0,0,0,50 - 54 years,50,54,569938
London,E12000007,2022-09-26,0,0,0,55 - 59 years,55,59,508722
London,E12000007,2022-09-26,1,1,0.2,60 - 64 years,60,64,405576
London,E12000007,2022-09-26,0,4,1.3,65 - 69 years,65,69,318142
London,E12000007,2022-09-26,0,0,0,70 - 74 years,70,74,280432
